Date : 2020-06-11 21:38:48
Directory : c:\Users\shiva\Documents\project\Node\isohel-client
Total : 557 files,  132801 codes, 50495 comments, 25189 blanks, all 208485 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\extension.py                                            | Python     |         29 |         15 |         14 |         58 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\extern\__init__.py                                      | Python     |         42 |         22 |         10 |         74 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\glibc.py                                                | Python     |         35 |         39 |         13 |         87 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\glob.py                                                 | Python     |        103 |         43 |         29 |        175 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\launch.py                                               | Python     |         18 |         10 |          8 |         36 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\lib2to3_ex.py                                           | Python     |         42 |         10 |         11 |         63 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\monkey.py                                               | Python     |         94 |         48 |         38 |        180 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\msvc.py                                                 | Python     |        686 |        462 |        154 |      1,302 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\namespaces.py                                           | Python     |         76 |         11 |         21 |        108 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\package_index.py                                        | Python     |        795 |        170 |        172 |      1,137 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\pep425tags.py                                           | Python     |        189 |         74 |         57 |        320 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\py27compat.py                                           | Python     |         12 |          7 |         10 |         29 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\py31compat.py                                           | Python     |         19 |          6 |          8 |         33 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\py33compat.py                                           | Python     |         36 |          3 |         21 |         60 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\sandbox.py                                              | Python     |        316 |         76 |        100 |        492 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\site-patch.py                                           | Python     |         57 |          4 |         14 |         75 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\ssl_support.py                                          | Python     |        164 |         52 |         45 |        261 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\unicode_utils.py                                        | Python     |         29 |          5 |         11 |         45 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\version.py                                              | Python     |          5 |          0 |          2 |          7 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\wheel.py                                                | Python     |        172 |         15 |         25 |        212 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\setuptools\windows_support.py                                      | Python     |         16 |          7 |          7 |         30 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\__init__.py                                               | Python     |          5 |         14 |          2 |         21 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\_compat.py                                                | Python     |        164 |         13 |         52 |        229 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\_internal.py                                              | Python     |        300 |         97 |         77 |        474 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\_reloader.py                                              | Python     |        238 |         43 |         61 |        342 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\datastructures.py                                         | Python     |      1,651 |        996 |        474 |      3,121 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\__init__.py                                         | Python     |        334 |        101 |         64 |        499 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\console.py                                          | Python     |        154 |         17 |         48 |        219 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\repr.py                                             | Python     |        224 |         36 |         38 |        298 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\shared\debugger.js                                  | JavaScript |        173 |         22 |         16 |        211 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\shared\jquery.js                                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\shared\style.css                                    | CSS        |        135 |          1 |         19 |        155 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\debug\tbtools.py                                          | Python     |        398 |        153 |         78 |        629 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\exceptions.py                                             | Python     |        320 |        357 |        153 |        830 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\filesystem.py                                             | Python     |         28 |         27 |         10 |         65 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\formparser.py                                             | Python     |        349 |        166 |         70 |        585 |
