Date : 2020-06-11 21:38:48
Directory : c:\Users\shiva\Documents\project\Node\isohel-client
Total : 557 files,  132801 codes, 50495 comments, 25189 blanks, all 208485 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\http.py                                                   | Python     |        671 |        513 |        124 |      1,308 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\local.py                                                  | Python     |        221 |        148 |         52 |        421 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\__init__.py                                    | Python     |          0 |         25 |          1 |         26 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\dispatcher.py                                  | Python     |         19 |         40 |          8 |         67 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\http_proxy.py                                  | Python     |        124 |         61 |         35 |        220 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\lint.py                                        | Python     |        298 |         39 |         72 |        409 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\profiler.py                                    | Python     |         62 |         57 |         14 |        133 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\proxy_fix.py                                   | Python     |         61 |         97 |         12 |        170 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\middleware\shared_data.py                                 | Python     |        168 |         75 |         51 |        294 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\posixemulation.py                                         | Python     |         83 |         21 |         14 |        118 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\routing.py                                                | Python     |      1,072 |        914 |        225 |      2,211 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\security.py                                               | Python     |        118 |         95 |         37 |        250 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\serving.py                                                | Python     |        699 |        262 |        157 |      1,118 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\test.py                                                   | Python     |        672 |        314 |        138 |      1,124 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\testapp.py                                                | Python     |         86 |        135 |         21 |        242 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\urls.py                                                   | Python     |        562 |        427 |        150 |      1,139 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\useragents.py                                             | Python     |         99 |         88 |         16 |        203 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\utils.py                                                  | Python     |        392 |        293 |         94 |        779 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\__init__.py                                      | Python     |         16 |         20 |          1 |         37 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\accept.py                                        | Python     |         22 |         22 |          7 |         51 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\auth.py                                          | Python     |         18 |          7 |          9 |         34 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\base_request.py                                  | Python     |        281 |        333 |         60 |        674 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\base_response.py                                 | Python     |        309 |        333 |         59 |        701 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\common_descriptors.py                            | Python     |        220 |         95 |         27 |        342 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\cors.py                                          | Python     |         70 |         16 |         15 |        101 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\etag.py                                          | Python     |        152 |        119 |         34 |        305 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\json.py                                          | Python     |         76 |         43 |         27 |        146 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\request.py                                       | Python     |         20 |         22 |          8 |         50 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\response.py                                      | Python     |         48 |         20 |         17 |         85 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wrappers\user_agent.py                                    | Python     |          6 |          5 |          4 |         15 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\werkzeug\wsgi.py                                                   | Python     |        473 |        425 |        103 |      1,001 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Scripts\Activate.ps1                                                                 | PowerShell |        104 |        248 |         34 |        386 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Scripts\activate.bat                                                                 | Batch      |         24 |          0 |         10 |         34 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Scripts\deactivate.bat                                                               | Batch      |         15 |          0 |          7 |         22 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\pyvenv.cfg                                                                           | Properties |          3 |          0 |          1 |          4 |
| c:\Users\shiva\Documents\project\Node\isohel-client\package-lock.json                                                                                | JSON       |     12,998 |          0 |          1 |     12,999 |
| c:\Users\shiva\Documents\project\Node\isohel-client\package.json                                                                                     | JSON       |         53 |          0 |          1 |         54 |
| c:\Users\shiva\Documents\project\Node\isohel-client\public\index.html                                                                                | HTML       |         16 |          1 |          1 |         18 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\App.vue                                                                                      | Vue        |         51 |          0 |         11 |         62 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\auth.js                                                                                      | JavaScript |         21 |          2 |          2 |         25 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\components\StockRow.vue                                                                      | Vue        |         48 |          1 |          5 |         54 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\db.js                                                                                        | JavaScript |          3 |          0 |          4 |          7 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\firebase.js                                                                                  | JavaScript |         13 |          0 |          4 |         17 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\main.js                                                                                      | JavaScript |         16 |          1 |          5 |         22 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\router\index.js                                                                              | JavaScript |         37 |          0 |          7 |         44 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\store\auth.js                                                                                | JavaScript |         35 |          0 |          8 |         43 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\store\index.js                                                                               | JavaScript |          9 |          0 |          4 |         13 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\views\Dash.vue                                                                               | Vue        |         63 |          0 |          4 |         67 |
| c:\Users\shiva\Documents\project\Node\isohel-client\src\views\Home.vue                                                                               | Vue        |         15 |          0 |          3 |         18 |
| Total                                                                                                                                                |            |    132,801 |     50,495 |     25,189 |    208,485 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
