"filename", "language", "JSON", "Markdown", "Properties", "Python", "JavaScript", "HTML", "Vue", "Batch", "PowerShell", "XML", "C", "C++", "Objective-C", "Makefile", "CSS", "Ini", "XSL", "comment", "blank", "total"
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_lambdarepr.py", "Python", 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46, 234
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_latex.py", "Python", 0, 0, 0, 2022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 522, 2604
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_llvmjit.py", "Python", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65, 226
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_maple.py", "Python", 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 96, 381
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_mathematica.py", "Python", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48, 288
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_mathml.py", "Python", 0, 0, 0, 1674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 324, 2007
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_numpy.py", "Python", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90, 310
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_octave.py", "Python", 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 90, 519
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_precedence.py", "Python", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27, 90
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_preview.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 37
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_pycode.py", "Python", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83, 326
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_python.py", "Python", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41, 189
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_rcode.py", "Python", 0, 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87, 489
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_repr.py", "Python", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90, 310
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_rust.py", "Python", 0, 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68, 353
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_str.py", "Python", 0, 0, 0, 662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 220, 892
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_tableform.py", "Python", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 183
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_tensorflow.py", "Python", 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103, 465
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_theanocode.py", "Python", 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 129, 614
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tests\test_tree.py", "Python", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 197
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\theanocode.py", "Python", 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 68, 530
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\printing\tree.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 12, 179
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\release.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\sandbox\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\sandbox\indexed_integrals.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 70
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\sandbox\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\sandbox\tests\test_indexed_integrals.py", "Python", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\__init__.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\acceleration.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 8, 99
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\approximants.py", "Python", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 4, 99
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\aseries.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 13
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\benchmarks\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\benchmarks\bench_limit.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\benchmarks\bench_order.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\formal.py", "Python", 0, 0, 0, 833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 707, 253, 1793
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\fourier.py", "Python", 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 276, 103, 667
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\gruntz.py", "Python", 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 60, 678
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\kauers.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 4, 56
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\limits.py", "Python", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 30, 271
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\limitseq.py", "Python", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 27, 248
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\sympy\series\order.py", "Python", 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 49, 477
